08/12/2020,Gizmodo Australia,"Big number go up.

https://t.co/kpZzdAKqwk"
08/12/2020,Business Insider Australia,Tesla announces 5-for-1 stock split as shares continue to rip higher https://t.co/koqFsTLVIN
08/12/2020,Yossi Gestetner,"In May 2019, @MorganStanley kept @Tesla’s stock price target of $230 with a bull case of $391 and a bear case of ten dollars.

https://t.co/nULRUntke1"
08/12/2020,ET NOW,"Tesla is splitting its elevated shares in a 5-for-1 exchange, a move timed to make the stock less expensive for individual investors after the company become the world’s most valuable automaker. @Tesla https://t.co/DnQN2pAqlJ"
08/12/2020,CNN Business,"Tesla's stock jumped as much as 6% in after-hours trading Tuesday after the company announced a five-for-one stock split, set to go into effect on August 31 https://t.co/MovAm6IWXM"
08/12/2020,Los Angeles Times,Tesla splits stock to make lofty shares attainable again https://t.co/KyC5L631EN
08/12/2020,CleanTechnica,Tesla Announces 5-for-1 Stock Split https://t.co/kJCXq0eX4G
08/12/2020,Inquirer,Tesla will split its stock for the first time in its history so more investors can afford to buy a stake in the electric car pioneer following a meteoric rise in its market value. https://t.co/giUa8ZvVSF
08/12/2020,Bloomberg,"Tesla is splitting its elevated shares in a 5-for-1 exchange, a move timed to make the soaring stock less expensive for individual investors https://t.co/GxbQ1B6RMr"
08/12/2020,The Seattle Times,"Tesla's five-for-one stock split won't change how much the business is worth, but will automatically reduce the price of its shares by 80% when it's completed on Aug. 31. https://t.co/8C1n39tlhO"
08/12/2020,Katherine Feser,Tesla boosts turbocharged stock with plan for 5-for-1 split https://t.co/8jmalniYUe
08/12/2020,Andrew Tavani,"$TSLA, its share price up 200% this year, announces 5 for 1 stock split: https://t.co/xg5yDpCZKm"
08/12/2020,CGTN Business,.@Tesla Inc announced a five-for-one stock split. #Tesla #StockMarket  https://t.co/ax09Bvln6F via @cgtnofficial
08/12/2020,Jonathan Chevreau,Tesla sets 5-1 stock split and its high-flying stock soars again https://t.co/ar6Mymr25T
08/12/2020,Financial Review,"The move won't change how much the electric car maker's business is worth, but will automatically reduce the price of its shares by 80 per cent. https://t.co/b8zglUL2MK"
08/12/2020,Brian Monzo,I love the this move for Tesla. It’s amazing that Amazon has not done this yet- but the reality is they don’t need to.   https://t.co/rJh5GWri1e
08/12/2020,WSJ Markets,Tesla Inc. said it would enact a 5-for-1 stock split after a share-price surge over recent months vaulted the electric-vehicle maker to the status of most valuable car company. https://t.co/0jakKG8CLa
08/12/2020,solange stan account,"put $1000 away and save it for when the stock market crashes .. tesla just did a 5-1 split, meaning their stock will be ~$250 on Aug. 31st.. when shit crashes it’ll dip another 30-40%.. 

.. or cop more shoes and shit. whatever."
08/12/2020,JV Rufino,WSJ: Tesla to Enact 5-for-1 Stock Split https://t.co/URkTmO8A7D
08/12/2020,Ross Gerber,Talking stock splits and tesla early with @NPetallides on the @TDANetwork 7:15 am pst - come enjoy the fun. $tsla
08/12/2020,Las Vegas Sun,Tesla boosts turbocharged stock with plan for 5-for-1 split https://t.co/0tihHubjI2 https://t.co/5Sfhv0kzEb
08/12/2020,Reuters,Tesla sets 5-1 stock split and its high-flying stock soars again https://t.co/PMw4qohXHm https://t.co/JpQ6kuff26
08/12/2020,TradingView,"Tesla is splitting its stock and this is how the market reacted.

In market cap terms, that spike is worth $15 billion. https://t.co/bNLJyiZFs4"
08/12/2020,JV Rufino,FT: Tesla to split stock after share price leap https://t.co/bhlMyxF2a4
08/12/2020,David Welch,"Tesla stock, already a top pick among retail investors, becomes more accessible. https://t.co/73Gdfk5Rpx"
08/12/2020,Arjun Kharpal,#Tesla announced a five-for-one stock split that comes into effect on August 31 $TSLA https://t.co/FSYqjv6mnX
08/12/2020,MarketWatch,Tesla’s stock run leads to 5-1 share split https://t.co/yumBhQkK9m
08/12/2020,Reuters U.S. News,Tesla sets 5-1 stock split and its high-flying stock soars again https://t.co/QNgRYJbyl5 https://t.co/6QOXkEFvOl
08/12/2020,Bloomberg Markets,"Tesla is splitting its elevated shares in a 5-for-1 exchange, a move timed to make the soaring stock less expensive for individual investors https://t.co/oQTwSRZ9K8"
08/12/2020,Reuters China,Tesla sets 5-1 stock split and its high-flying stock soars again https://t.co/6QJzMKSLCz
08/12/2020,Talk 1370,HEADLINES: Tesla boosts turbocharged stock with plan for 5-for-1 split https://t.co/f97p4RRpAL
08/12/2020,CNA,Tesla sets 5-1 stock split and its high-flying stock soars again https://t.co/1N7bqrgnmU https://t.co/kSdHBiiQNh
08/12/2020,Reuters Tech News,Tesla sets 5-1 stock split and its high-flying stock soars again https://t.co/FW8N3Cyc1D https://t.co/Slg0qDPMqp
08/12/2020,Reuters UK,Tesla sets 5-1 stock split and its high-flying stock soars again https://t.co/i1okvoYtI5 https://t.co/FnFjiYHDTh
08/12/2020,Canoe,"Tesla announces 5-1 stock split, shares skyrocket again https://t.co/exZCR1Pg18"
08/12/2020,Jim Osman,"Good news for #Tesla bears 🐻 the stock is about to drop below $300! Oh, wait, it’s a 5 for 1 split, 🤣 $TSLA  https://t.co/maECC3c2om"
08/12/2020,SFGATE,Tesla boosts turbocharged stock with plan for 5-for-1 split https://t.co/aphPV50PPh https://t.co/zondCP5VPl
08/11/2020,R “Ray” Wang 王瑞光 #MPH #DigitalGiants #Duopolies,@NY_Rangers1024 MyPOV: smart move by @elonmusk to bring more retail investors into the mix.  @Tesla remains a growth stock.  Value it as a data company and #digitalgiant not an automobile company nor electricfication  play.  That's all a means to an end.
08/11/2020,Bloomberg Australia,"Tesla is splitting its elevated shares in a 5-for-1 exchange, a move timed to make the soaring stock less expensive for individual investors https://t.co/obBx3bMQPt"
08/11/2020,The Straits Times,Tesla splits stock to make lofty shares attainable again https://t.co/2JE16cKhZC
08/11/2020,CNBC,"Tesla announced a five-for-one stock split on Tuesday evening. Theoretically, the move could mean more smaller investors could afford the stock, but those investors are minuscule compared to major institutions. https://t.co/lHtjSb4TSN"
08/11/2020,Ed Ludlow,"STOCK SPLIT: $TSLA announced it's splitting its (elevated) shares in a 5-for-1 exchange. A timely, ""smart move"" to make the stock accessible to retail investors? An all hands from @decodethefirm @mpgrenier731 @crtrud @gablova for our story here: 

https://t.co/ohSbOK9GNG"
08/11/2020,R “Ray” Wang 王瑞光 #MPH #DigitalGiants #Duopolies,"MyPOV: @Tesla making it easier for the retail investor. 

Tesla, Inc. said it would enact a 5-for-1 stock split after a share-price surge over recent months vaulted the electric-vehicle maker to the status of most valuable car company. https://t.co/VRe6XpuVq5 via @WSJ"
08/11/2020,iPhone in Canada,"Tesla Announces 5-for-1 Stock Split, Shares Up 6% in After-Hours Trading https://t.co/mrIUpGRr37"
08/11/2020,Reuters,Tesla launches five-for-one stock split https://t.co/euhskHs4V7 https://t.co/BGu9oO0ncf
08/11/2020,Artem Russakovskii,"Disappointed it's not 1-for-4.20.

https://t.co/1bXXpFRyyz"
08/11/2020,Dawn Kopecki,Wow: Tesla announces five-for-one stock split https://t.co/eJG9Pk3pvS by @robotod
08/11/2020,Fortune Tech,Tesla stock split makes richly valued shares reachable again https://t.co/SO6zkdqjCG https://t.co/7N6mYeocmH
08/11/2020,BNN Bloomberg,Tesla splits stock to make richly valued shares reachable again https://t.co/haCdg3OVeP https://t.co/HclYkifqdX
08/11/2020,Verge Transportation,Tesla’s planned five-way stock split will make its shares much more affordable https://t.co/ptOsAoOgh6 https://t.co/UqUa3zkMLq
08/11/2020,Bloomberg Asia,"Tesla is splitting its elevated shares in a 5-for-1 exchange, a move timed to make the soaring stock less expensive for individual investors https://t.co/aa7gVppQxx"
08/11/2020,Fabrizio Goria,Tesla to Enact 5-for-1 Stock Split https://t.co/lYQrkY3CO1
08/11/2020,The Verge,Tesla’s planned five-way stock split will make its shares much more affordable https://t.co/pgYnCBAPzs https://t.co/XG0uFjCjHP
08/11/2020,Financial Times,Tesla to split stock after share price leap https://t.co/HbReBtvrhv
08/11/2020,FT Markets,Tesla to split stock after share price leap https://t.co/RWxjHHpSMa
08/11/2020,Bloomberg,"Tesla is splitting its elevated shares in a 5-for-1 exchange, a move timed to make the soaring stock less expensive for individual investors https://t.co/bLgn68dowt"
08/11/2020,FT Technology News,Tesla to split stock after share price leap https://t.co/IzJmtq5Tv2
08/11/2020,The Wall Street Journal,Tesla said it would enact a 5-for-1 stock split after a share-price surge over recent months vaulted the electric-vehicle maker to the status of most valuable car company https://t.co/ZOM1cXY8CO
08/11/2020,Ed Ludlow,"Tesla $TSLA Splits Stock to Make Richly Valued Shares Reachable Again

https://t.co/ohSbOK9GNG"
08/11/2020,Ross Gerber,"Wow, great afternoon. Tesla stock split and Kamala Harris as VP. Im happy. $TSLA"
08/11/2020,Ross Gerber,@WR4NYGov @elonmusk So many individual investors are buying tesla. Many cant afford one share. Then they get ripped off at Robinhood buying fractional shares. Its better for companies to have more shareholders and distribute stock to more people.
08/11/2020,Seyi Gesinde,Tesla announces 5-for-1 stock split.
08/11/2020,Steven Russolillo,"First Apple, now Tesla: Stock splits are a thing again! 

$TSLA 

https://t.co/vVdUW9f6OH"
08/11/2020,KPIX 5,"In a statement, the company said its board approved the split so “to make stock ownership more accessible to employees and investors.”
https://t.co/NucUwBtSSy"
08/11/2020,Anthony DeRosa 🗽,Tesla said it would enact a 5-for-1 stock split after a share-price surge over recent months vaulted the electric-vehicle maker to the status of most valuable car company. $TSLA https://t.co/5SMPgnMdSU
08/11/2020,Barron's,"The current stock prices for the two highflying U.S. companies don’t reflect any potential China risk, Bernstein analyst Toni Sacconaghi writes. https://t.co/fLnZLb81gX"
08/11/2020,Khari,Tesla 5-1 stock split... making $TSLA more accessible for the masses...great move @elonmusk
08/11/2020,CNA,Tesla launches five-for-one stock split https://t.co/Y2973GqkLn https://t.co/lHlx0cyNmn
08/11/2020,Mario Gabelli,"Stock splits ...aaple,,,tesla ,,,Why ?  Create value? ...or done to broaden shareholder ( customer) base ,,, precursor for capital raise(unlikely for Apple)...brings to mind story of customer ordering regular pizza,,,owner asks you want6 or 8 slices ...oh ,can’t eat 8 — too much"
08/11/2020,Business Insider,Tesla announces five-for-one stock split as shares continue to rip higher https://t.co/HjKuE6DbKt
08/11/2020,Todd Haselton,Tesla announces five-for-one stock split https://t.co/amnxSzkfLW
08/11/2020,Benzinga,@elonmusk Full story on $TSLA split: https://t.co/TrPaTxeMVI
08/11/2020,Alex B 📉,Tesla splits 5:1 so @elonmusk can hit $420 again https://t.co/j9A6G2Z6dh
08/11/2020,Jeffrey C. McCracken,"Tesla announces five-for-one stock split

https://t.co/vtq2uC45Os"
08/11/2020,MarketsTicker,Tesla stock soars 7% on 5-to-1 stock split news https://t.co/P5IN0I1BYh
08/11/2020,FP Investing,Tesla launches five-for-one stock split https://t.co/JWVTjR7zgq https://t.co/8RkEZ9mqfN
08/11/2020,Financial Post,Tesla launches five-for-one stock split https://t.co/Du1ml19UTm https://t.co/TrGKnMwDPt
08/11/2020,National Post,Tesla launches five-for-one stock split https://t.co/NiaikAp1gH
08/11/2020,Brian Sozzi,"Big Tech Trends...

Tesla 5-for-1 stock split: Aug. 31
Apple 4-for-1 stock split: Aug. 31

Amazon next at 10-for-1?"
08/11/2020,Morning Brew ☕️,Tesla shares currently up 6.4% in after hours trading after  announcing a 5-for-1 stock split https://t.co/STTHFNaaM4
